년월,전지구,마우나로아(미국),안면도,고산,울릉도,
201507,8.6,8.7,9.1,,,
201508,8.6,8.6,9.8,,,
201509,8.6,8.8,9.5,,,
201510,8.7,8.8,8.9,,,
201511,8.7,8.8,9.8,,,
201512,8.7,8.9,9.4,,,
201601,8.8,8.8,9.4,,,
201602,8.8,8.9,9.3,,,
201603,8.8,8.9,9.3,,,
201604,8.9,9.0,9.6,,,
201605,8.9,9.0,9.6,,,
201606,8.9,9.0,9.8,,,
201607,8.9,9.0,9.5,,,
201608,8.9,9.0,9.2,,,
201609,9.0,9.1,9.3,,,
201610,9.0,9.1,,,,
201611,9.0,9.2,9.4,,,
201612,9.1,9.1,9.5,,,
201701,9.1,9.2,9.1,9.4,9.3,
201702,9.1,9.2,9.4,9.8,9.3,
201703,9.1,9.2,9.6,9.7,9.4,
201704,9.2,9.3,9.3,9.5,9.5,
201705,9.2,9.3,9.7,9.7,9.5,
201706,9.2,9.3,9.8,9.7,9.7,
201707,9.2,9.4,9.8,9.7,10.0,
201708,9.3,9.4,9.7,9.7,9.6,
201709,9.3,9.5,9.7,9.7,9.7,
201710,9.4,9.5,9.7,9.7,9.7,
201711,9.4,9.6,9.7,9.8,9.7,
201712,9.4,9.6,9.8,9.8,9.7,
201801,9.4,9.6,9.7,9.7,,
201802,9.5,9.6,9.7,9.8,,
201803,9.5,9.6,9.7,9.9,,
201804,9.5,9.6,9.8,9.9,,
201805,9.5,9.5,9.8,10.0,9.7,
201806,9.6,9.7,9.9,9.9,9.9,
201807,9.6,9.7,9.7,9.8,9.8,
201808,9.6,9.7,9.8,9.8,9.9,
201809,9.6,9.7,9.8,9.9,9.8,
201810,9.7,9.9,9.8,10.0,9.8,
201811,9.7,9.9,9.9,10.0,9.9,
201812,9.8,9.9,9.9,10.0,9.9,
201901,9.8,9.9,10.1,10.1,10.0,
201902,9.8,9.9,10.1,10.1,10.0,
201903,9.8,,10.1,10.1,10.1,
201904,9.9,,10.2,10.2,10.1,
201905,9.9,,10.4,10.3,10.1,
201906,9.9,10.1,10.5,10.5,10.4,
201907,9.9,10.1,10.3,10.0,10.7,
201908,10.0,10.1,10.3,10.0,10.4,
201909,10.0,10.1,10.3,10.2,10.4,
201910,10.0,10.2,10.4,10.3,10.4,
201911,10.1,10.2,10.3,10.3,10.4,
201912,10.1,10.2,10.4,10.3,10.4,
